[28-05-2015 22:22:33] Contest set to ILSVRC

[28-05-2015 22:22:33] LOADING METADATA FROM /MEDIA/ALEXIS/SSD/CACHE/META.MAT
----------------------------------------------------------------------------
[28-05-2015 22:22:40] Metadata loaded succesfully!

[28-05-2015 22:22:40] LOADING OBJECTS FILEPATHS INDEXER FROM /MEDIA/ALEXIS/SSD/CACHE/OBJECTS.MAT
------------------------------------------------------------------------------------------------
[28-05-2015 22:22:41] Objects filepaths indexer loaded succesfully!

[28-05-2015 22:22:46] TRAINING
------------------------------
[28-05-2015 22:22:52] iter: 1/3740 | epoch 0/200 | error: 0.995011091232300
[28-05-2015 22:22:59] iter: 2/3740 | epoch 0/200 | error: 0.994959771633148
[28-05-2015 22:23:04] iter: 3/3740 | epoch 0/200 | error: 0.994887828826904
[28-05-2015 22:23:10] iter: 4/3740 | epoch 0/200 | error: 0.994743704795837
[28-05-2015 22:23:16] iter: 5/3740 | epoch 0/200 | error: 0.994452714920044

[28-05-2015 22:23:16] VALIDATING
--------------------------------
[28-05-2015 22:25:19] validation error: 0.995070099830627 accuracy: 0.000000%
[28-05-2015 22:25:20] validation error: 0.995049715042114 accuracy: 0.000000%
[28-05-2015 22:25:22] validation error: 0.995035827159882 accuracy: 0.000000%
[28-05-2015 22:25:23] validation error: 0.995027422904968 accuracy: 0.000000%
[28-05-2015 22:25:25] validation error: 0.995016813278198 accuracy: 0.000000%
[28-05-2015 22:25:26] validation error: 0.995010852813721 accuracy: 0.000000%
[28-05-2015 22:25:27] validation error: 0.995011091232300 accuracy: 0.000000%
[28-05-2015 22:25:29] validation error: 0.995013058185577 accuracy: 0.000000%
[28-05-2015 22:25:30] validation error: 0.995016813278198 accuracy: 0.000000%
[28-05-2015 22:25:32] validation error: 0.995024740695953 accuracy: 0.000000%
[28-05-2015 22:25:33] validation error: 0.995039701461792 accuracy: 0.000000%
[28-05-2015 22:25:35] validation error: 0.995056331157684 accuracy: 0.000000%
[28-05-2015 22:25:36] validation error: 0.995065391063690 accuracy: 0.000000%
[28-05-2015 22:25:38] validation error: 0.995071649551392 accuracy: 0.000000%
[28-05-2015 22:25:39] validation error: 0.995075941085815 accuracy: 0.000000%
[28-05-2015 22:25:41] validation error: 0.995065569877625 accuracy: 0.000000%
[28-05-2015 22:25:42] validation error: 0.995057046413422 accuracy: 0.000000%
[28-05-2015 22:25:44] validation error: 0.995056092739105 accuracy: 0.000000%
[28-05-2015 22:25:45] validation error: 0.995055556297302 accuracy: 0.000000%
[28-05-2015 22:25:46] validation error: 0.995056033134460 accuracy: 0.000000%
[28-05-2015 22:25:48] validation error: 0.995077908039093 accuracy: 0.000000%
[28-05-2015 22:25:49] validation error: 0.995087921619415 accuracy: 0.000000%
[28-05-2015 22:25:51] validation error: 0.995076298713684 accuracy: 0.000000%
[28-05-2015 22:25:52] validation error: 0.995071053504944 accuracy: 0.000000%
